product_name,description,price
Wireless Mouse,Ergonomic 2.4GHz wireless mouse with silent clicks and long battery life,14.99
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches and metal frame,49.99
USB-C Hub,7-in-1 USB-C hub with HDMI,29.99
Bluetooth Speaker,Portable waterproof Bluetooth speaker with deep bass and 12-hour battery,39.99
Noise Cancelling Headphones,Over-ear ANC headphones with Bluetooth 5.3 and 40-hour playtime,89.99
Smartwatch,Fitness smartwatch with heart rate tracking,59.99
External SSD,1TB portable SSD with 1050MB/s read speed and USB 3.2 Gen 2 support,119.99
Laptop Stand,Adjustable aluminum laptop stand with cooling vents and foldable design,24.99
Webcam,1080p HD webcam with built-in microphone and low-light correction,34.99
Desk Lamp,LED desk lamp with touch control,19.99
